Title,Company,experience,Estimated_salary,location,Industry_type,job_type,key_skills
Data Science Engineer,AXA Business Services Pvt Ltd,3 - 5 years,Not Disclosed,Bengaluru,IT Services & Consulting,"Full Time, Permanent",Hadoop AdministrationGITLinuxdata scienceCodingMachine learningMonitoringPythonTeaching
Business Analyst,nanobi data and analytics private limited,4 - 6 years,Not Disclosed,Bangalore/Bengaluru,IT Services & Consulting,"Full Time, Permanent",Supply chainRetaildata scienceBusiness AnalystData modelingAnalyticalAnalyticsFinancial servicesReporting toolsSales consulting
Sr . Software Engineer ( Data Science ),Unravel,3 - 6 years,Not Disclosed,Bangalore/Bengaluru,IT Services & Consulting,"Full Time, Permanent",Resource utilizationdata scienceMachine learningCloudHadoopmicrosoftbig dataOperationsWorkflow analysisPython
Data Scientist,Diverse Lynx,1 - 5 years,Not Disclosed,Bengaluru,IT Services & Consulting,"Full Time, Permanent",deep learningdata scienceAnalyticsPython
Data Scientist,Sense Talent Labs,2 - 6 years,Not Disclosed,Bangalore/Bengaluru,Internet,"Full Time, Permanent",Data ScienceAlgorithmsNlpSoftware EngineeringData ScientistNatural Language ProcessingGoogle Cloud PlatformSparkInformation RetrievalDeep Learning
Senior Data Scientist,CredAvenue Private Ltd,4 - 7 years,Not Disclosed,Chennai,FinTech / Payments,"Full Time, Permanent",Data SciencePredictive ModelingRNLPFinancedata scientistSQLPythonR programming
Data Engineer,jupiter,3 - 7 years,Not Disclosed,Bangalore/Bengaluru,Courier / Logistics,"Full Time, Permanent",Computer scienceObject oriented designdata scienceMachine learningCMSData structuresHTMLSchedulingBusiness intelligenceAnalytics
Data Analyst,ANI Technologies Pvt Ltd,1 - 3 years,Not Disclosed,Bangalore/Bengaluru,Analytics / KPO / Research,"Full Time, Permanent",Data AnalysisPythonSQL
Data Scientist,Nihilent Technologies Pvt. Ltd.,5 - 8 years,Not Disclosed,Gurgaon,IT Services & Consulting,"Full Time, Permanent",Computer scienceOperations researchStatistical analysisdata scienceAnalyticalMathematicsbig dataStatisticsAnalyticsPython
Senior Software Engineer - Data Science,TNS holdings,7 - 10 years,Not Disclosed,Hyderabad,Facility Management Services,"Full Time, Permanent",Computer scienceCareer developmentScript writingMachine learningAgileMongoDBNatural language processingMedical insuranceinternational clientsPython
