Text,rating,price,ROM,Display,camera,chip
"APPLE iPhone 11 Pro (Silver, 64 GB)",4.6,"₹79,999",64 GB ROM,14.73 cm (5.8 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 8 Plus (Gold, 256 GB)",4.6,"₹84,900",256 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor"
"APPLE iPhone 11 Pro (Silver, 512 GB)",4.6,"₹1,40,300",512 GB ROM,14.73 cm (5.8 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 8 (PRODUCT)RED (Red, 64 GB)",4.7,"₹38,999",,,,
"APPLE iPhone 11 Pro Max (Midnight Green, 512 GB)",4.7,"₹1,50,800",512 GB ROM,16.51 cm (6.5 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone XS Max (Silver, 512 GB)",4.6,"₹1,44,900",512 GB ROM,16.51 cm (6.5 inch) Super Retina HD Display,12MP + 12MP | 7MP Front Camera,A12 Bionic Chip Processor
"APPLE iPhone 6s (Silver, 32 GB)",4.5,"₹25,299",,,,
"APPLE iPhone 13 Pro Max (Gold, 1 TB)",,"₹1,79,900",,,,
"APPLE iPhone 7 (Black, 32 GB)",4.5,"₹24,999",32 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor
"APPLE iPhone 6 (Gold, 64 GB)",4.4,"₹62,500",,,,
"APPLE iPhone XS (Space Grey, 256 GB)",4.7,"₹76,999",,,,
"APPLE iPhone 11 Pro (Space Grey, 64 GB)",4.6,"₹79,999",64 GB ROM,14.73 cm (5.8 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone XS (Space Grey, 64 GB)",4.7,"₹62,999",,,,
"APPLE iPhone 7 (PRODUCT) (Red, 256 GB)",4.7,"₹74,400",,,,
"APPLE iPhone 6s Plus (Rose Gold, 32 GB)",4.4,"₹34,900",,,,
"APPLE iPhone 7 (Jet Black, 32 GB)",4.5,"₹24,999",32 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor
"APPLE iPhone 7 (Black, 128 GB)",4.5,"₹34,900",128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor
"APPLE iPhone 7 Plus (Gold, 32 GB)",4.5,"₹36,999",,,,
"APPLE iPhone 6s (Space Grey, 32 GB)",4.5,"₹25,299",,,,
"APPLE iPhone 13 Pro (Silver, 1 TB)",,"₹1,69,900",,,,
"APPLE iPhone 7 (Jet Black, 128 GB)",4.5,"₹34,900",128 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor
"APPLE iPhone 7 Plus (PRODUCT) (Red, 256 GB)",5,"₹85,400",,,,
"APPLE iPhone 7 (Rose Gold, 32 GB)",4.5,"₹24,999",32 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor
"APPLE iPhone 7 Plus (Silver, 32 GB)",4.5,"₹36,999",,,,
"APPLE iPhone 11 Pro (Silver, 256 GB)",4.6,"₹1,21,300",256 GB ROM,14.73 cm (5.8 inch) Super Retina XDR Display,12MP + 12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 7 Plus (Black, 128 GB)",4.5,"₹42,900",128 GB ROM,13.94 cm (5.488 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor
"APPLE iPhone 7 (Gold, 32 GB)",4.5,"₹24,999",32 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor
"APPLE iPhone 7 Plus (Jet Black, 256 GB)",4.5,"₹85,400",256 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP + 12MP | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor
"APPLE iPhone 6s (Gold, 32 GB)",4.5,"₹25,299",,,,
"APPLE iPhone 6s (Rose Gold, 32 GB)",4.5,"₹25,299",,,,
"APPLE iPhone 11 (Purple, 128 GB)",4.6,"₹54,900",128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP | 12MP Front Camera,A13 Bionic Chip Processor
"APPLE iPhone 6 (Silver, 16 GB)",4.4,"₹36,990",,,,
"Apple iPhone XR (Black, 256 GB) (Includes EarPods, Power Adapter)",4.6,"₹91,900",256 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor
"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",4.6,"₹91,900",256 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor
"APPLE iPhone 6 (Gold, 128 GB)",4.4,"₹49,999",,,,
"APPLE iPhone 13 Pro (Silver, 512 GB)",,"₹1,49,900",,,,
"APPLE iPhone XR (Coral, 128 GB)",4.6,"₹47,999",128 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera | 7MP Front Camera,A12 Bionic Chip Processor
"APPLE iPhone 6s Plus (Rose Gold, 128 GB)",4.4,"₹70,000",128 GB ROM,13.97 cm (5.5 inch) Retina HD Display,12MP Rear Camera | 5MP Front Camera,A9 Chip with 64-bit Architecture and M9 Motion Co-processor
"APPLE iPhone 7 (Silver, 32 GB)",4.5,"₹24,999",32 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera | 7MP Front Camera,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor
